9011,9012,9013
"0.1(R11,C1)","0.1(R11,C2)","0.1(R11,C3)","0.1(R11,C4)","0.1(R11,C5)","0.1(R11,C6)","0.1(R11,C7)","0.1(R11,C8)","0.1(R11,C9)","0.1(R11,C10)","0.1(R11,C11)","0.1(R11,C12)","0.1(R11,C13)","0.1(R11,C14)","0.1(R11,C15)","0.1(R11,C16)","0.1(R11,C17)","0.1(R11,C18)","0.1(R11,C19)","0.1(R11,C20)","0.1(R11,C21)","0.1(R11,C22)","0.1(R11,C23)","0.1(R11,C24)","0.1(R11,C25)","0.1(R11,C26)","0.1(R11,C27)","0.1(R11,C28)","0.1(R11,C29)","0.1(R11,C30)","0.1(R11,C31)","0.1(R11,C32)","0.1(R11,C33)","0.1(R11,C34)","0.1(R11,C35)","0.1(R11,C36)","0.1(R11,C37)","0.1(R11,C38)","0.1(R11,C39)","0.1(R11,C40)","0.1(R11,C41)","0.1(R11,C42)","0.1(R11,C43)","0.1(R11,C44)","0.1(R11,C45)","0.1(R11,C46)"
"0.1(R12,C1)","0.1(R12,C2)","0.1(R12,C3)","0.1(R12,C4)","0.1(R12,C5)","0.1(R12,C6)","0.1(R12,C7)","0.1(R12,C8)","0.1(R12,C9)","0.1(R12,C10)","0.1(R12,C11)","0.1(R12,C12)","0.1(R12,C13)","0.1(R12,C14)","0.1(R12,C15)","0.1(R12,C16)","0.1(R12,C17)","0.1(R12,C18)","0.1(R12,C19)","0.1(R12,C20)","0.1(R12,C21)","0.1(R12,C22)","0.1(R12,C23)","0.1(R12,C24)","0.1(R12,C25)","0.1(R12,C26)","0.1(R12,C27)","0.1(R12,C28)","0.1(R12,C29)","0.1(R12,C30)","0.1(R12,C31)","0.1(R12,C32)","0.1(R12,C33)","0.1(R12,C34)","0.1(R12,C35)","0.1(R12,C36)","0.1(R12,C37)","0.1(R12,C38)","0.1(R12,C39)","0.1(R12,C40)","0.1(R12,C41)","0.1(R12,C42)","0.1(R12,C43)","0.1(R12,C44)","0.1(R12,C45)","0.1(R12,C46)"
"0.1(R13,C1)","0.1(R13,C2)","0.1(R13,C3)","0.1(R13,C4)","0.1(R13,C5)","0.1(R13,C6)","0.1(R13,C7)","0.1(R13,C8)","0.1(R13,C9)","0.1(R13,C10)","0.1(R13,C11)","0.1(R13,C12)","0.1(R13,C13)","0.1(R13,C14)","0.1(R13,C15)","0.1(R13,C16)","0.1(R13,C17)","0.1(R13,C18)","0.1(R13,C19)","0.1(R13,C20)","0.1(R13,C21)","0.1(R13,C22)","0.1(R13,C23)","0.1(R13,C24)","0.1(R13,C25)","0.1(R13,C26)","0.1(R13,C27)","0.1(R13,C28)","0.1(R13,C29)","0.1(R13,C30)","0.1(R13,C31)","0.1(R13,C32)","0.1(R13,C33)","0.1(R13,C34)","0.1(R13,C35)","0.1(R13,C36)","0.1(R13,C37)","0.1(R13,C38)","0.1(R13,C39)","0.1(R13,C40)","0.1(R13,C41)","0.1(R13,C42)","0.1(R13,C43)","0.1(R13,C44)","0.1(R13,C45)","0.1(R13,C46)"
"0.1(R14,C1)","0.1(R14,C2)","0.1(R14,C3)","0.1(R14,C4)","0.1(R14,C5)","0.1(R14,C6)","0.1(R14,C7)","0.1(R14,C8)","0.1(R14,C9)","0.1(R14,C10)","0.1(R14,C11)","0.1(R14,C12)","0.1(R14,C13)","0.1(R14,C14)","0.1(R14,C15)","0.1(R14,C16)","0.1(R14,C17)","0.1(R14,C18)","0.1(R14,C19)","0.1(R14,C20)","0.1(R14,C21)","0.1(R14,C22)","0.1(R14,C23)","0.1(R14,C24)","-0.1(R14,C25)","0.1(R14,C26)","0.1(R14,C27)","0.1(R14,C28)","0.1(R14,C29)","-0.1(R14,C30)","0.1(R14,C31)","0.1(R14,C32)","0.1(R14,C33)","0.1(R14,C34)","0.1(R14,C35)","0.1(R14,C36)","0.1(R14,C37)","0.1(R14,C38)","0.1(R14,C39)","0.1(R14,C40)","0.1(R14,C41)","0.1(R14,C42)","0.1(R14,C43)","0.1(R14,C44)","0.1(R14,C45)","0.1(R14,C46)"
"0.1(R15,C1)","0.1(R15,C2)","0.1(R15,C3)","0.1(R15,C4)","0.1(R15,C5)","0.1(R15,C6)","0.1(R15,C7)","0.1(R15,C8)","0.1(R15,C9)","0.1(R15,C10)","0.1(R15,C11)","0.1(R15,C12)","0.1(R15,C13)","0.1(R15,C14)","0.1(R15,C15)","0.1(R15,C16)","0.1(R15,C17)","0.1(R15,C18)","0.1(R15,C19)","0.1(R15,C20)","0.1(R15,C21)","0.1(R15,C22)","0.1(R15,C23)","0.1(R15,C24)","-0.1(R15,C25)","0.1(R15,C26)","0.1(R15,C27)","0.1(R15,C28)","0.1(R15,C29)","0.1(R15,C30)","0.1(R15,C31)","0.1(R15,C32)","0.1(R15,C33)","0.1(R15,C34)","0.1(R15,C35)","0.1(R15,C36)","0.1(R15,C37)","0.1(R15,C38)","0.1(R15,C39)","0.1(R15,C40)","0.1(R15,C41)","0.1(R15,C42)","0.1(R15,C43)","0.1(R15,C44)","0.1(R15,C45)","0.1(R15,C46)"
"0.1(R16,C1)","0.1(R16,C2)","0.1(R16,C3)","0.1(R16,C4)","0.1(R16,C5)","0.1(R16,C6)","0.1(R16,C7)","0.1(R16,C8)","0.1(R16,C9)","0.1(R16,C10)","0.1(R16,C11)","0.1(R16,C12)","0.1(R16,C13)","0.1(R16,C14)","0.1(R16,C15)","0.1(R16,C16)","0.1(R16,C17)","0.1(R16,C18)","0.1(R16,C19)","0.1(R16,C20)","0.1(R16,C21)","0.1(R16,C22)","0.1(R16,C23)","0.1(R16,C24)","0.1(R16,C25)","0.1(R16,C26)","0.1(R16,C27)","0.1(R16,C28)","0.1(R16,C29)","0.1(R16,C30)","0.1(R16,C31)","0.1(R16,C32)","0.1(R16,C33)","0.1(R16,C34)","0.1(R16,C35)","0.1(R16,C36)","0.1(R16,C37)","0.1(R16,C38)","0.1(R16,C39)","0.1(R16,C40)","0.1(R16,C41)","0.1(R16,C42)","0.1(R16,C43)","0.1(R16,C44)","0.1(R16,C45)","0.1(R16,C46)"
"-0.1(R17,C1)","-0.1(R17,C2)","0.1(R17,C3)","0.1(R17,C4)","0.1(R17,C5)","0.1(R17,C6)","0.1(R17,C7)","0.1(R17,C8)","0.1(R17,C9)","0.1(R17,C10)","0.1(R17,C11)","-0.1(R17,C12)","0.1(R17,C13)","0.1(R17,C14)","0.1(R17,C15)","-0.1(R17,C16)","0.1(R17,C17)","-0.1(R17,C18)","0.1(R17,C19)","0.1(R17,C20)","0.1(R17,C21)","0.1(R17,C22)","0.1(R17,C23)","0.1(R17,C24)","0.1(R17,C25)","0.1(R17,C26)","0.1(R17,C27)","0.1(R17,C28)","0.1(R17,C29)","0.1(R17,C30)","-0.1(R17,C31)","0.1(R17,C32)","0.1(R17,C33)","0.1(R17,C34)","0.1(R17,C35)","0.1(R17,C36)","0.1(R17,C37)","0.1(R17,C38)","0.1(R17,C39)","0.1(R17,C40)","0.1(R17,C41)","0.1(R17,C42)","0.1(R17,C43)","0.1(R17,C44)","0.1(R17,C45)","0.1(R17,C46)"
"100.0(R18,C1)","100.0(R18,C2)","-100.0(R18,C3)","-100.0(R18,C4)","-100.0(R18,C5)","-100.0(R18,C6)","-100.0(R18,C7)","100.0(R18,C8)","100.0(R18,C9)","100.0(R18,C10)","-100.0(R18,C11)","100.0(R18,C12)","100.0(R18,C13)","100.0(R18,C14)","100.0(R18,C15)","100.0(R18,C16)","100.0(R18,C17)","100.0(R18,C18)","-100.0(R18,C19)","-100.0(R18,C20)","-100.0(R18,C21)","-100.0(R18,C22)","-100.0(R18,C23)","-100.0(R18,C24)","-100.0(R18,C25)","-100.0(R18,C26)","-100.0(R18,C27)","-100.0(R18,C28)","-100.0(R18,C29)","-100.0(R18,C30)","100.0(R18,C31)","-100.0(R18,C32)","-100.0(R18,C33)","-100.0(R18,C34)","-100.0(R18,C35)","-100.0(R18,C36)","-100.0(R18,C37)","-100.0(R18,C38)","-100.0(R18,C39)","-100.0(R18,C40)","-100.0(R18,C41)","-100.0(R18,C42)","-100.0(R18,C43)","-100.0(R18,C44)","-100.0(R18,C45)","-100.0(R18,C46)"
"-0.1(R19,C1)","-0.1(R19,C2)","0.1(R19,C3)","0.1(R19,C4)","0.1(R19,C5)","0.1(R19,C6)","0.1(R19,C7)","-0.105(R19,C8)","-0.105(R19,C9)","-0.105(R19,C10)","0.1(R19,C11)","-0.1(R19,C12)","-0.105(R19,C13)","-0.105(R19,C14)","-0.105(R19,C15)","-0.1(R19,C16)","0.1(R19,C17)","0.1(R19,C18)","0.1(R19,C19)","0.1(R19,C20)","0.1(R19,C21)","0.1(R19,C22)","0.1(R19,C23)","0.1(R19,C24)","0.1(R19,C25)","0.1(R19,C26)","0.1(R19,C27)","0.1(R19,C28)","0.1(R19,C29)","0.1(R19,C30)","0.1(R19,C31)","0.1(R19,C32)","0.1(R19,C33)","0.1(R19,C34)","0.1(R19,C35)","0.1(R19,C36)","0.1(R19,C37)","0.1(R19,C38)","0.1(R19,C39)","0.1(R19,C40)","0.1(R19,C41)","0.1(R19,C42)","0.1(R19,C43)","0.1(R19,C44)","0.1(R19,C45)","0.1(R19,C46)"
"-100.0(R20,C1)","-100.0(R20,C2)","-100.0(R20,C3)","-100.0(R20,C4)","-100.0(R20,C5)","-100.0(R20,C6)","-100.0(R20,C7)","120.0(R20,C8)","120.0(R20,C9)","120.0(R20,C10)","-100.0(R20,C11)","-100.0(R20,C12)","-100.0(R20,C13)","-100.0(R20,C14)","-100.0(R20,C15)","120.0(R20,C16)","-100.0(R20,C17)","-100.0(R20,C18)","-100.0(R20,C19)","-100.0(R20,C20)","-100.0(R20,C21)","-100.0(R20,C22)","-100.0(R20,C23)","-100.0(R20,C24)","-100.0(R20,C25)","-100.0(R20,C26)","-100.0(R20,C27)","-100.0(R20,C28)","-100.0(R20,C29)","-100.0(R20,C30)","-100.0(R20,C31)","-100.0(R20,C32)","-100.0(R20,C33)","-100.0(R20,C34)","-100.0(R20,C35)","-100.0(R20,C36)","-100.0(R20,C37)","-100.0(R20,C38)","-100.0(R20,C39)","-100.0(R20,C40)","-100.0(R20,C41)","-100.0(R20,C42)","-100.0(R20,C43)","-100.0(R20,C44)","-100.0(R20,C45)","-100.0(R20,C46)"
