9011,9012,9013 
"0.1(R205,C1)","0.1(R205,C2)","0.1(R205,C3)","0.1(R205,C4)","0.1(R205,C5)","0.1(R205,C6)","0.1(R205,C7)","0.1(R205,C8)","0.1(R205,C9)","0.1(R205,C10)","0.1(R205,C11)","0.1(R205,C12)","0.1(R205,C13)","0.1(R205,C14)","0.1(R205,C15)","0.1(R205,C16)","0.1(R205,C17)","0.1(R205,C18)","0.1(R205,C19)","0.1(R205,C20)","-0.1(R205,C21)","-0.1(R205,C22)","-0.1(R205,C23)","-0.1(R205,C24)","-0.1(R205,C25)","-0.1(R205,C26)","0.1(R205,C27)","0.1(R205,C28)","0.1(R205,C29)","0.1(R205,C30)","0.1(R205,C31)","0.1(R205,C32)","0.1(R205,C33)","0.1(R205,C34)","0.1(R205,C35)","0.1(R205,C36)","0.1(R205,C37)","0.1(R205,C38)","0.1(R205,C39)","0.1(R205,C40)","0.1(R205,C41)","0.1(R205,C42)","0.1(R205,C43)","0.1(R205,C44)","0.1(R205,C45)","0.1(R205,C46)"
"0.1(R206,C1)","0.1(R206,C2)","0.1(R206,C3)","0.1(R206,C4)","0.1(R206,C5)","0.1(R206,C6)","0.1(R206,C7)","0.1(R206,C8)","0.1(R206,C9)","0.1(R206,C10)","0.1(R206,C11)","0.1(R206,C12)","0.1(R206,C13)","0.1(R206,C14)","0.1(R206,C15)","0.1(R206,C16)","0.1(R206,C17)","0.1(R206,C18)","0.1(R206,C19)","0.1(R206,C20)","0.1(R206,C21)","0.1(R206,C22)","0.1(R206,C23)","0.1(R206,C24)","0.1(R206,C25)","0.1(R206,C26)","0.1(R206,C27)","0.1(R206,C28)","0.1(R206,C29)","0.1(R206,C30)","0.1(R206,C31)","0.1(R206,C32)","0.1(R206,C33)","-0.1(R206,C34)","0.1(R206,C35)","0.1(R206,C36)","0.1(R206,C37)","0.1(R206,C38)","0.1(R206,C39)","0.1(R206,C40)","0.1(R206,C41)","0.1(R206,C42)","0.1(R206,C43)","0.1(R206,C44)","0.1(R206,C45)","0.1(R206,C46)"
"0.1(R207,C1)","0.1(R207,C2)","0.1(R207,C3)","0.1(R207,C4)","0.1(R207,C5)","0.1(R207,C6)","0.1(R207,C7)","0.1(R207,C8)","0.1(R207,C9)","0.1(R207,C10)","0.1(R207,C11)","0.1(R207,C12)","0.1(R207,C13)","0.1(R207,C14)","0.1(R207,C15)","0.1(R207,C16)","0.1(R207,C17)","0.1(R207,C18)","0.1(R207,C19)","0.1(R207,C20)","-0.1(R207,C21)","-0.1(R207,C22)","-0.1(R207,C23)","-0.1(R207,C24)","-0.1(R207,C25)","0.1(R207,C26)","0.1(R207,C27)","0.1(R207,C28)","0.1(R207,C29)","0.1(R207,C30)","0.1(R207,C31)","0.1(R207,C32)","0.1(R207,C33)","-0.1(R207,C34)","0.1(R207,C35)","0.1(R207,C36)","0.1(R207,C37)","0.1(R207,C38)","0.1(R207,C39)","0.1(R207,C40)","0.1(R207,C41)","0.1(R207,C42)","0.1(R207,C43)","0.1(R207,C44)","0.1(R207,C45)","0.1(R207,C46)"
"0.1(R208,C1)","0.1(R208,C2)","0.1(R208,C3)","0.1(R208,C4)","0.1(R208,C5)","0.1(R208,C6)","0.1(R208,C7)","0.1(R208,C8)","0.1(R208,C9)","0.1(R208,C10)","0.1(R208,C11)","0.1(R208,C12)","0.1(R208,C13)","0.1(R208,C14)","0.1(R208,C15)","0.1(R208,C16)","0.1(R208,C17)","0.1(R208,C18)","0.1(R208,C19)","0.1(R208,C20)","0.1(R208,C21)","0.1(R208,C22)","0.1(R208,C23)","0.1(R208,C24)","0.1(R208,C25)","-0.1(R208,C26)","0.1(R208,C27)","0.1(R208,C28)","0.1(R208,C29)","0.1(R208,C30)","0.1(R208,C31)","0.1(R208,C32)","0.1(R208,C33)","0.1(R208,C34)","0.1(R208,C35)","0.1(R208,C36)","0.1(R208,C37)","0.1(R208,C38)","0.1(R208,C39)","0.1(R208,C40)","0.1(R208,C41)","0.1(R208,C42)","0.1(R208,C43)","0.1(R208,C44)","0.1(R208,C45)","0.1(R208,C46)"
"0.1(R209,C1)","0.1(R209,C2)","0.1(R209,C3)","0.1(R209,C4)","0.1(R209,C5)","0.1(R209,C6)","0.1(R209,C7)","0.1(R209,C8)","0.1(R209,C9)","0.1(R209,C10)","0.1(R209,C11)","0.1(R209,C12)","0.1(R209,C13)","0.1(R209,C14)","0.1(R209,C15)","0.1(R209,C16)","0.1(R209,C17)","0.1(R209,C18)","0.1(R209,C19)","0.1(R209,C20)","0.1(R209,C21)","-0.1(R209,C22)","0.1(R209,C23)","-0.1(R209,C24)","-0.1(R209,C25)","0.1(R209,C26)","0.1(R209,C27)","0.1(R209,C28)","0.1(R209,C29)","0.1(R209,C30)","0.1(R209,C31)","0.1(R209,C32)","0.1(R209,C33)","-0.1(R209,C34)","0.1(R209,C35)","0.1(R209,C36)","0.1(R209,C37)","0.1(R209,C38)","0.1(R209,C39)","0.1(R209,C40)","0.1(R209,C41)","0.1(R209,C42)","0.1(R209,C43)","0.1(R209,C44)","0.1(R209,C45)","0.1(R209,C46)"
"0.1(R210,C1)","0.1(R210,C2)","0.1(R210,C3)","0.1(R210,C4)","0.1(R210,C5)","0.1(R210,C6)","0.1(R210,C7)","0.1(R210,C8)","0.1(R210,C9)","0.1(R210,C10)","0.1(R210,C11)","0.1(R210,C12)","0.1(R210,C13)","0.1(R210,C14)","0.1(R210,C15)","0.1(R210,C16)","0.1(R210,C17)","0.1(R210,C18)","0.1(R210,C19)","0.1(R210,C20)","0.1(R210,C21)","0.1(R210,C22)","0.1(R210,C23)","0.1(R210,C24)","0.1(R210,C25)","-0.1(R210,C26)","0.1(R210,C27)","0.1(R210,C28)","0.1(R210,C29)","0.1(R210,C30)","0.1(R210,C31)","0.1(R210,C32)","0.1(R210,C33)","0.1(R210,C34)","0.1(R210,C35)","0.1(R210,C36)","0.1(R210,C37)","0.1(R210,C38)","0.1(R210,C39)","0.1(R210,C40)","0.1(R210,C41)","0.1(R210,C42)","0.1(R210,C43)","0.1(R210,C44)","0.1(R210,C45)","0.1(R210,C46)"
"0.1(R211,C1)","0.1(R211,C2)","0.1(R211,C3)","0.1(R211,C4)","0.1(R211,C5)","0.1(R211,C6)","0.1(R211,C7)","0.1(R211,C8)","0.1(R211,C9)","0.1(R211,C10)","0.1(R211,C11)","0.1(R211,C12)","0.1(R211,C13)","0.1(R211,C14)","0.1(R211,C15)","0.1(R211,C16)","0.1(R211,C17)","0.1(R211,C18)","0.1(R211,C19)","0.1(R211,C20)","0.1(R211,C21)","-0.1(R211,C22)","0.1(R211,C23)","-0.1(R211,C24)","-0.1(R211,C25)","0.1(R211,C26)","0.1(R211,C27)","0.1(R211,C28)","0.1(R211,C29)","0.1(R211,C30)","0.1(R211,C31)","0.1(R211,C32)","0.1(R211,C33)","-0.1(R211,C34)","0.1(R211,C35)","0.1(R211,C36)","0.1(R211,C37)","0.1(R211,C38)","0.1(R211,C39)","0.1(R211,C40)","0.1(R211,C41)","0.1(R211,C42)","0.1(R211,C43)","0.1(R211,C44)","0.1(R211,C45)","0.1(R211,C46)"
"0.1(R212,C1)","0.1(R212,C2)","0.1(R212,C3)","0.1(R212,C4)","0.1(R212,C5)","0.1(R212,C6)","0.1(R212,C7)","0.1(R212,C8)","0.1(R212,C9)","0.1(R212,C10)","0.1(R212,C11)","0.1(R212,C12)","0.1(R212,C13)","0.1(R212,C14)","0.1(R212,C15)","0.1(R212,C16)","0.1(R212,C17)","0.1(R212,C18)","0.1(R212,C19)","0.1(R212,C20)","0.1(R212,C21)","0.1(R212,C22)","0.1(R212,C23)","0.1(R212,C24)","0.1(R212,C25)","-0.1(R212,C26)","0.1(R212,C27)","0.1(R212,C28)","0.1(R212,C29)","0.1(R212,C30)","0.1(R212,C31)","0.1(R212,C32)","0.1(R212,C33)","0.1(R212,C34)","0.1(R212,C35)","0.1(R212,C36)","0.1(R212,C37)","0.1(R212,C38)","0.1(R212,C39)","0.1(R212,C40)","0.1(R212,C41)","0.1(R212,C42)","0.1(R212,C43)","0.1(R212,C44)","0.1(R212,C45)","0.1(R212,C46)"
"0.1(R213,C1)","0.1(R213,C2)","0.1(R213,C3)","0.1(R213,C4)","0.1(R213,C5)","0.1(R213,C6)","0.1(R213,C7)","0.1(R213,C8)","0.1(R213,C9)","0.1(R213,C10)","0.1(R213,C11)","0.1(R213,C12)","0.1(R213,C13)","0.1(R213,C14)","0.1(R213,C15)","0.1(R213,C16)","0.1(R213,C17)","0.1(R213,C18)","0.1(R213,C19)","0.1(R213,C20)","-0.1(R213,C21)","0.1(R213,C22)","0.1(R213,C23)","0.1(R213,C24)","-0.1(R213,C25)","0.1(R213,C26)","0.1(R213,C27)","0.1(R213,C28)","0.1(R213,C29)","0.1(R213,C30)","0.1(R213,C31)","0.1(R213,C32)","0.1(R213,C33)","0.1(R213,C34)","0.1(R213,C35)","0.1(R213,C36)","0.1(R213,C37)","0.1(R213,C38)","0.1(R213,C39)","0.1(R213,C40)","0.1(R213,C41)","0.1(R213,C42)","0.1(R213,C43)","0.1(R213,C44)","0.1(R213,C45)","0.1(R213,C46)"
"0.1(R214,C1)","0.1(R214,C2)","0.1(R214,C3)","0.1(R214,C4)","0.1(R214,C5)","0.1(R214,C6)","0.1(R214,C7)","0.1(R214,C8)","0.1(R214,C9)","0.1(R214,C10)","0.1(R214,C11)","0.1(R214,C12)","0.1(R214,C13)","0.1(R214,C14)","0.1(R214,C15)","0.1(R214,C16)","0.1(R214,C17)","0.1(R214,C18)","0.1(R214,C19)","0.1(R214,C20)","0.1(R214,C21)","0.1(R214,C22)","0.1(R214,C23)","0.1(R214,C24)","0.1(R214,C25)","-0.1(R214,C26)","0.1(R214,C27)","0.1(R214,C28)","0.1(R214,C29)","0.1(R214,C30)","0.1(R214,C31)","0.1(R214,C32)","0.1(R214,C33)","-0.1(R214,C34)","0.1(R214,C35)","0.1(R214,C36)","0.1(R214,C37)","0.1(R214,C38)","0.1(R214,C39)","0.1(R214,C40)","0.1(R214,C41)","0.1(R214,C42)","0.1(R214,C43)","0.1(R214,C44)","0.1(R214,C45)","0.1(R214,C46)"
"0.1(R215,C1)","0.1(R215,C2)","0.1(R215,C3)","0.1(R215,C4)","0.1(R215,C5)","0.1(R215,C6)","0.1(R215,C7)","0.1(R215,C8)","0.1(R215,C9)","0.1(R215,C10)","0.1(R215,C11)","0.1(R215,C12)","0.1(R215,C13)","0.1(R215,C14)","0.1(R215,C15)","0.1(R215,C16)","0.1(R215,C17)","0.1(R215,C18)","0.1(R215,C19)","0.1(R215,C20)","-0.1(R215,C21)","0.1(R215,C22)","-0.1(R215,C23)","-0.1(R215,C24)","-0.1(R215,C25)","0.1(R215,C26)","0.1(R215,C27)","0.1(R215,C28)","0.1(R215,C29)","0.1(R215,C30)","0.1(R215,C31)","0.1(R215,C32)","0.1(R215,C33)","0.1(R215,C34)","0.1(R215,C35)","0.1(R215,C36)","0.1(R215,C37)","0.1(R215,C38)","0.1(R215,C39)","0.1(R215,C40)","0.1(R215,C41)","0.1(R215,C42)","0.1(R215,C43)","0.1(R215,C44)","0.1(R215,C45)","0.1(R215,C46)"
"0.1(R216,C1)","0.1(R216,C2)","0.1(R216,C3)","0.1(R216,C4)","0.1(R216,C5)","0.1(R216,C6)","0.1(R216,C7)","0.1(R216,C8)","0.1(R216,C9)","0.1(R216,C10)","0.1(R216,C11)","0.1(R216,C12)","0.1(R216,C13)","0.1(R216,C14)","0.1(R216,C15)","0.1(R216,C16)","0.1(R216,C17)","0.1(R216,C18)","0.1(R216,C19)","0.1(R216,C20)","0.1(R216,C21)","0.1(R216,C22)","0.1(R216,C23)","0.1(R216,C24)","0.1(R216,C25)","-0.1(R216,C26)","0.1(R216,C27)","0.1(R216,C28)","0.1(R216,C29)","0.1(R216,C30)","0.1(R216,C31)","0.1(R216,C32)","0.1(R216,C33)","-0.1(R216,C34)","0.1(R216,C35)","0.1(R216,C36)","0.1(R216,C37)","0.1(R216,C38)","0.1(R216,C39)","0.1(R216,C40)","0.1(R216,C41)","0.1(R216,C42)","0.1(R216,C43)","0.1(R216,C44)","0.1(R216,C45)","0.1(R216,C46)"
"0.1(R217,C1)","0.1(R217,C2)","0.1(R217,C3)","0.1(R217,C4)","0.1(R217,C5)","0.1(R217,C6)","0.1(R217,C7)","0.1(R217,C8)","0.1(R217,C9)","0.1(R217,C10)","0.1(R217,C11)","0.1(R217,C12)","0.1(R217,C13)","0.1(R217,C14)","0.1(R217,C15)","0.1(R217,C16)","0.1(R217,C17)","0.1(R217,C18)","0.1(R217,C19)","0.1(R217,C20)","-0.1(R217,C21)","0.1(R217,C22)","-0.1(R217,C23)","-0.1(R217,C24)","-0.1(R217,C25)","0.1(R217,C26)","0.1(R217,C27)","0.1(R217,C28)","0.1(R217,C29)","0.1(R217,C30)","0.1(R217,C31)","0.1(R217,C32)","0.1(R217,C33)","0.1(R217,C34)","0.1(R217,C35)","0.1(R217,C36)","0.1(R217,C37)","0.1(R217,C38)","0.1(R217,C39)","0.1(R217,C40)","0.1(R217,C41)","0.1(R217,C42)","0.1(R217,C43)","0.1(R217,C44)","0.1(R217,C45)","0.1(R217,C46)"
"0.1(R218,C1)","0.1(R218,C2)","0.1(R218,C3)","0.1(R218,C4)","0.1(R218,C5)","0.1(R218,C6)","0.1(R218,C7)","0.1(R218,C8)","0.1(R218,C9)","0.1(R218,C10)","0.1(R218,C11)","0.1(R218,C12)","0.1(R218,C13)","0.1(R218,C14)","0.1(R218,C15)","0.1(R218,C16)","0.1(R218,C17)","0.1(R218,C18)","0.1(R218,C19)","0.1(R218,C20)","0.1(R218,C21)","0.1(R218,C22)","0.1(R218,C23)","0.1(R218,C24)","0.1(R218,C25)","-0.1(R218,C26)","0.1(R218,C27)","0.1(R218,C28)","0.1(R218,C29)","0.1(R218,C30)","0.1(R218,C31)","0.1(R218,C32)","0.1(R218,C33)","-0.1(R218,C34)","0.1(R218,C35)","0.1(R218,C36)","0.1(R218,C37)","0.1(R218,C38)","0.1(R218,C39)","0.1(R218,C40)","0.1(R218,C41)","0.1(R218,C42)","0.1(R218,C43)","0.1(R218,C44)","0.1(R218,C45)","0.1(R218,C46)"
"0.1(R219,C1)","0.1(R219,C2)","0.1(R219,C3)","0.1(R219,C4)","0.1(R219,C5)","0.1(R219,C6)","0.1(R219,C7)","0.1(R219,C8)","0.1(R219,C9)","0.1(R219,C10)","0.1(R219,C11)","0.1(R219,C12)","0.1(R219,C13)","0.1(R219,C14)","0.1(R219,C15)","0.1(R219,C16)","0.1(R219,C17)","0.1(R219,C18)","0.1(R219,C19)","0.1(R219,C20)","-0.1(R219,C21)","-0.1(R219,C22)","-0.1(R219,C23)","-0.1(R219,C24)","0.1(R219,C25)","0.1(R219,C26)","0.1(R219,C27)","0.1(R219,C28)","0.1(R219,C29)","0.1(R219,C30)","0.1(R219,C31)","0.1(R219,C32)","0.1(R219,C33)","-0.1(R219,C34)","0.1(R219,C35)","0.1(R219,C36)","0.1(R219,C37)","0.1(R219,C38)","0.1(R219,C39)","0.1(R219,C40)","0.1(R219,C41)","0.1(R219,C42)","0.1(R219,C43)","0.1(R219,C44)","0.1(R219,C45)","0.1(R219,C46)"
"0.1(R220,C1)","0.1(R220,C2)","0.1(R220,C3)","0.1(R220,C4)","0.1(R220,C5)","0.1(R220,C6)","0.1(R220,C7)","0.1(R220,C8)","0.1(R220,C9)","0.1(R220,C10)","0.1(R220,C11)","0.1(R220,C12)","0.1(R220,C13)","0.1(R220,C14)","0.1(R220,C15)","0.1(R220,C16)","0.1(R220,C17)","0.1(R220,C18)","0.1(R220,C19)","0.1(R220,C20)","0.1(R220,C21)","0.1(R220,C22)","0.1(R220,C23)","0.1(R220,C24)","-0.1(R220,C25)","-0.1(R220,C26)","0.1(R220,C27)","0.1(R220,C28)","0.1(R220,C29)","0.1(R220,C30)","0.1(R220,C31)","0.1(R220,C32)","0.1(R220,C33)","0.1(R220,C34)","0.1(R220,C35)","0.1(R220,C36)","0.1(R220,C37)","0.1(R220,C38)","0.1(R220,C39)","0.1(R220,C40)","0.1(R220,C41)","0.1(R220,C42)","0.1(R220,C43)","0.1(R220,C44)","0.1(R220,C45)","0.1(R220,C46)"
"0.1(R221,C1)","0.1(R221,C2)","0.1(R221,C3)","0.1(R221,C4)","0.1(R221,C5)","0.1(R221,C6)","0.1(R221,C7)","0.1(R221,C8)","0.1(R221,C9)","0.1(R221,C10)","0.1(R221,C11)","0.1(R221,C12)","0.1(R221,C13)","0.1(R221,C14)","0.1(R221,C15)","0.1(R221,C16)","0.1(R221,C17)","0.1(R221,C18)","0.1(R221,C19)","0.1(R221,C20)","-0.1(R221,C21)","-0.1(R221,C22)","-0.1(R221,C23)","-0.1(R221,C24)","0.1(R221,C25)","0.1(R221,C26)","0.1(R221,C27)","0.1(R221,C28)","0.1(R221,C29)","0.1(R221,C30)","0.1(R221,C31)","0.1(R221,C32)","0.1(R221,C33)","-0.1(R221,C34)","0.1(R221,C35)","0.1(R221,C36)","0.1(R221,C37)","0.1(R221,C38)","0.1(R221,C39)","0.1(R221,C40)","0.1(R221,C41)","0.1(R221,C42)","0.1(R221,C43)","0.1(R221,C44)","0.1(R221,C45)","0.1(R221,C46)"
"0.1(R222,C1)","0.1(R222,C2)","0.1(R222,C3)","0.1(R222,C4)","0.1(R222,C5)","0.1(R222,C6)","0.1(R222,C7)","0.1(R222,C8)","0.1(R222,C9)","0.1(R222,C10)","0.1(R222,C11)","0.1(R222,C12)","0.1(R222,C13)","0.1(R222,C14)","0.1(R222,C15)","0.1(R222,C16)","0.1(R222,C17)","0.1(R222,C18)","0.1(R222,C19)","0.1(R222,C20)","0.1(R222,C21)","0.1(R222,C22)","0.1(R222,C23)","0.1(R222,C24)","-0.1(R222,C25)","-0.1(R222,C26)","0.1(R222,C27)","0.1(R222,C28)","0.1(R222,C29)","0.1(R222,C30)","0.1(R222,C31)","0.1(R222,C32)","0.1(R222,C33)","0.1(R222,C34)","0.1(R222,C35)","0.1(R222,C36)","0.1(R222,C37)","0.1(R222,C38)","0.1(R222,C39)","0.1(R222,C40)","0.1(R222,C41)","0.1(R222,C42)","0.1(R222,C43)","0.1(R222,C44)","0.1(R222,C45)","0.1(R222,C46)"
"0.1(R223,C1)","0.1(R223,C2)","0.1(R223,C3)","0.1(R223,C4)","0.1(R223,C5)","0.1(R223,C6)","0.1(R223,C7)","0.1(R223,C8)","0.1(R223,C9)","0.1(R223,C10)","0.1(R223,C11)","0.1(R223,C12)","-0.15(R223,C13)","0.1(R223,C14)","-0.15(R223,C15)","0.1(R223,C16)","0.1(R223,C17)","0.1(R223,C18)","0.1(R223,C19)","0.1(R223,C20)","0.1(R223,C21)","0.1(R223,C22)","0.1(R223,C23)","0.1(R223,C24)","0.1(R223,C25)","0.1(R223,C26)","0.1(R223,C27)","0.1(R223,C28)","0.1(R223,C29)","0.1(R223,C30)","0.1(R223,C31)","-0.1(R223,C32)","-0.1(R223,C33)","0.1(R223,C34)","0.1(R223,C35)","-0.1(R223,C36)","-0.15(R223,C37)","0.1(R223,C38)","0.1(R223,C39)","0.1(R223,C40)","0.1(R223,C41)","0.1(R223,C42)","0.1(R223,C43)","0.1(R223,C44)","-0.15(R223,C45)","0.1(R223,C46)"
"0.1(R224,C1)","0.1(R224,C2)","0.1(R224,C3)","0.1(R224,C4)","0.1(R224,C5)","0.1(R224,C6)","0.1(R224,C7)","0.1(R224,C8)","0.1(R224,C9)","0.1(R224,C10)","0.1(R224,C11)","0.1(R224,C12)","0.1(R224,C13)","0.1(R224,C14)","0.1(R224,C15)","0.1(R224,C16)","0.1(R224,C17)","0.1(R224,C18)","0.1(R224,C19)","0.1(R224,C20)","0.1(R224,C21)","0.1(R224,C22)","0.1(R224,C23)","0.1(R224,C24)","0.1(R224,C25)","0.1(R224,C26)","0.1(R224,C27)","0.1(R224,C28)","0.1(R224,C29)","-0.1(R224,C30)","-0.1(R224,C31)","-0.1(R224,C32)","-0.1(R224,C33)","0.1(R224,C34)","-0.1(R224,C35)","-0.1(R224,C36)","0.1(R224,C37)","-0.1(R224,C38)","0.1(R224,C39)","0.1(R224,C40)","0.1(R224,C41)","0.1(R224,C42)","0.1(R224,C43)","0.1(R224,C44)","0.1(R224,C45)","0.1(R224,C46)"
"0.1(R225,C1)","0.1(R225,C2)","-0.15(R225,C3)","0.1(R225,C4)","-0.15(R225,C5)","0.1(R225,C6)","-0.15(R225,C7)","0.1(R225,C8)","0.1(R225,C9)","0.1(R225,C10)","-0.1(R225,C11)","0.1(R225,C12)","-0.15(R225,C13)","-0.15(R225,C14)","-0.15(R225,C15)","0.1(R225,C16)","0.1(R225,C17)","-0.1(R225,C18)","0.1(R225,C19)","0.1(R225,C20)","0.1(R225,C21)","0.1(R225,C22)","0.1(R225,C23)","0.1(R225,C24)","0.1(R225,C25)","0.1(R225,C26)","0.1(R225,C27)","0.1(R225,C28)","0.1(R225,C29)","0.1(R225,C30)","0.1(R225,C31)","0.1(R225,C32)","0.1(R225,C33)","0.1(R225,C34)","0.1(R225,C35)","0.1(R225,C36)","0.1(R225,C37)","-0.1(R225,C38)","0.1(R225,C39)","0.1(R225,C40)","0.1(R225,C41)","0.1(R225,C42)","0.1(R225,C43)","0.1(R225,C44)","0.1(R225,C45)","-0.15(R225,C46)"
"0.1(R226,C1)","0.1(R226,C2)","0.1(R226,C3)","-0.1(R226,C4)","0.1(R226,C5)","-0.1(R226,C6)","0.1(R226,C7)","0.1(R226,C8)","0.1(R226,C9)","0.1(R226,C10)","-0.1(R226,C11)","0.1(R226,C12)","0.1(R226,C13)","0.1(R226,C14)","0.1(R226,C15)","0.1(R226,C16)","0.1(R226,C17)","0.1(R226,C18)","0.1(R226,C19)","-0.1(R226,C20)","0.1(R226,C21)","0.1(R226,C22)","0.1(R226,C23)","0.1(R226,C24)","0.1(R226,C25)","0.1(R226,C26)","0.1(R226,C27)","0.1(R226,C28)","0.1(R226,C29)","-0.1(R226,C30)","-0.1(R226,C31)","-0.1(R226,C32)","-0.1(R226,C33)","0.1(R226,C34)","-0.1(R226,C35)","-0.1(R226,C36)","-0.1(R226,C37)","0.1(R226,C38)","0.1(R226,C39)","0.1(R226,C40)","0.1(R226,C41)","0.1(R226,C42)","0.1(R226,C43)","0.1(R226,C44)","0.1(R226,C45)","0.1(R226,C46)"
"0.1(R227,C1)","0.1(R227,C2)","0.1(R227,C3)","0.1(R227,C4)","0.1(R227,C5)","0.1(R227,C6)","0.1(R227,C7)","0.1(R227,C8)","0.1(R227,C9)","0.1(R227,C10)","0.1(R227,C11)","0.1(R227,C12)","-0.15(R227,C13)","0.1(R227,C14)","-0.15(R227,C15)","0.1(R227,C16)","0.1(R227,C17)","-0.1(R227,C18)","0.1(R227,C19)","0.1(R227,C20)","0.1(R227,C21)","0.1(R227,C22)","0.1(R227,C23)","0.1(R227,C24)","0.1(R227,C25)","0.1(R227,C26)","0.1(R227,C27)","0.1(R227,C28)","0.1(R227,C29)","0.1(R227,C30)","0.1(R227,C31)","-0.1(R227,C32)","-0.1(R227,C33)","0.1(R227,C34)","0.1(R227,C35)","-0.1(R227,C36)","-0.15(R227,C37)","0.1(R227,C38)","0.1(R227,C39)","0.1(R227,C40)","0.1(R227,C41)","0.1(R227,C42)","0.1(R227,C43)","0.1(R227,C44)","0.1(R227,C45)","0.1(R227,C46)"
"0.1(R228,C1)","0.1(R228,C2)","0.1(R228,C3)","0.1(R228,C4)","0.1(R228,C5)","0.1(R228,C6)","0.1(R228,C7)","0.1(R228,C8)","0.1(R228,C9)","0.1(R228,C10)","0.1(R228,C11)","0.1(R228,C12)","0.1(R228,C13)","0.1(R228,C14)","0.1(R228,C15)","0.1(R228,C16)","0.1(R228,C17)","0.1(R228,C18)","0.1(R228,C19)","0.1(R228,C20)","0.1(R228,C21)","0.1(R228,C22)","0.1(R228,C23)","0.1(R228,C24)","0.1(R228,C25)","0.1(R228,C26)","0.1(R228,C27)","0.1(R228,C28)","0.1(R228,C29)","-0.1(R228,C30)","-0.1(R228,C31)","-0.1(R228,C32)","-0.1(R228,C33)","0.1(R228,C34)","-0.1(R228,C35)","-0.12(R228,C36)","0.1(R228,C37)","-0.1(R228,C38)","0.1(R228,C39)","0.1(R228,C40)","0.1(R228,C41)","0.1(R228,C42)","0.1(R228,C43)","0.1(R228,C44)","0.1(R228,C45)","0.1(R228,C46)"
"0.1(R229,C1)","0.1(R229,C2)","-0.15(R229,C3)","0.1(R229,C4)","-0.15(R229,C5)","0.1(R229,C6)","-0.15(R229,C7)","0.1(R229,C8)","0.1(R229,C9)","0.1(R229,C10)","-0.1(R229,C11)","0.1(R229,C12)","-0.15(R229,C13)","-0.15(R229,C14)","-0.15(R229,C15)","0.1(R229,C16)","0.1(R229,C17)","-0.1(R229,C18)","0.1(R229,C19)","0.1(R229,C20)","0.1(R229,C21)","0.1(R229,C22)","0.1(R229,C23)","0.1(R229,C24)","0.1(R229,C25)","0.1(R229,C26)","0.1(R229,C27)","0.1(R229,C28)","0.1(R229,C29)","0.1(R229,C30)","0.1(R229,C31)","0.1(R229,C32)","0.1(R229,C33)","0.1(R229,C34)","0.1(R229,C35)","0.1(R229,C36)","0.1(R229,C37)","-0.1(R229,C38)","0.1(R229,C39)","0.1(R229,C40)","0.1(R229,C41)","0.1(R229,C42)","0.1(R229,C43)","0.1(R229,C44)","0.1(R229,C45)","0.1(R229,C46)"
"0.1(R230,C1)","0.1(R230,C2)","0.1(R230,C3)","-0.1(R230,C4)","0.1(R230,C5)","-0.1(R230,C6)","0.1(R230,C7)","0.1(R230,C8)","0.1(R230,C9)","0.1(R230,C10)","-0.1(R230,C11)","0.1(R230,C12)","0.1(R230,C13)","0.1(R230,C14)","0.1(R230,C15)","0.1(R230,C16)","0.1(R230,C17)","0.1(R230,C18)","0.1(R230,C19)","-0.1(R230,C20)","0.1(R230,C21)","0.1(R230,C22)","0.1(R230,C23)","0.1(R230,C24)","0.1(R230,C25)","0.1(R230,C26)","0.1(R230,C27)","0.1(R230,C28)","0.1(R230,C29)","-0.1(R230,C30)","-0.1(R230,C31)","-0.1(R230,C32)","-0.1(R230,C33)","0.1(R230,C34)","-0.1(R230,C35)","-0.1(R230,C36)","-0.1(R230,C37)","0.1(R230,C38)","0.1(R230,C39)","0.1(R230,C40)","0.1(R230,C41)","0.1(R230,C42)","0.1(R230,C43)","0.1(R230,C44)","0.1(R230,C45)","0.1(R230,C46)"
"120.0(R1,C1)","100.0(R1,C2)","-100.0(R1,C3)","-100.0(R1,C4)","-100.0(R1,C5)","-100.0(R1,C6)","-100.0(R1,C7)","100.0(R1,C8)","100.0(R1,C9)","100.0(R1,C10)","-100.0(R1,C11)","100.0(R1,C12)","100.0(R1,C13)","100.0(R1,C14)","100.0(R1,C15)","100.0(R1,C16)","100.0(R1,C17)","-100.0(R1,C18)","-100.0(R1,C19)","-100.0(R1,C20)","-100.0(R1,C21)","-100.0(R1,C22)","-100.0(R1,C23)","-100.0(R1,C24)","-100.0(R1,C25)","-100.0(R1,C26)","-100.0(R1,C27)","-100.0(R1,C28)","-100.0(R1,C29)","-100.0(R1,C30)","-100.0(R1,C31)","-100.0(R1,C32)","-100.0(R1,C33)","-100.0(R1,C34)","-100.0(R1,C35)","-100.0(R1,C36)","-100.0(R1,C37)","-100.0(R1,C38)","-100.0(R1,C39)","-100.0(R1,C40)","-100.0(R1,C41)","-100.0(R1,C42)","-100.0(R1,C43)","-100.0(R1,C44)","-100.0(R1,C45)","-100.0(R1,C46)"
